id|creationDate|locationIP|browserUsed|content|length|creator|place|replyOfPost|replyOfComment
42949673130|2010-12-20T23:42:46.560+0000|49.246.182.84|Internet Explorer|About Ben Jonson, The Alchemi. About Roger Ebert, 2009 he st. About Sylvester Stallone, .|89|2199023255633|58||42949673128
42949673131|2010-12-20T19:11:37.244+0000|213.55.109.252|Internet Explorer|maybe|5|2199023255625|76||42949673129
42949673132|2010-12-20T20:57:55.875+0000|213.55.124.135|Internet Explorer|About Elton John, Sky . About Aldous Huxley, h. About Sylvester Stallo. About I Will Alw.|89|2199023255625|76||42949673128
42949673133|2010-12-21T05:13:41.219+0000|178.22.169.183|Internet Explorer|fine|4|2199023255633|82||42949673129
42949673134|2010-12-20T13:27:03.024+0000|141.136.14.130|Internet Explorer|no way!|7|2199023255633|38||42949673128
42949673135|2010-12-20T21:17:33.151+0000|31.205.225.206|Internet Explorer|maybe|5|2199023255633|107||42949673129
42949673136|2010-12-21T07:49:05.487+0000|31.192.211.172|Internet Explorer|no|2|2199023255633|105||42949673132
42949673137|2010-12-21T03:33:10.698+0000|78.24.32.102|Internet Explorer|About Diana, Princess. About Francis Ford Co. About Sylvester Stall. About I Will Al.|85|2199023255633|64||42949673128
42949673138|2010-12-20T13:39:39.311+0000|124.41.204.210|Internet Explorer|ok|2|2199023255625|88|42949673123|
42949673139|2010-12-20T17:08:07.061+0000|77.73.217.155|Internet Explorer|yes|3|2199023255625|105||42949673129
42949673140|2010-12-21T10:41:48.739+0000|31.177.9.162|Internet Explorer|good|4|2199023255625|23||42949673137
42949673141|2010-12-20T23:43:20.430+0000|62.68.60.157|Internet Explorer|About Ben Jonson, of Willi. About Roger Ebert, June 20. About Cyndi Lauper, more t. About Sylvester Stallone, . About Nancy Pelosi, .|133|2199023255633|22||42949673130
85899346102|2011-12-01T18:20:41.285+0000|27.110.82.197|Internet Explorer|roflol|6|10995116277857|85|85899346084|
85899346103|2011-12-01T13:38:02.314+0000|84.246.98.201|Internet Explorer|great|5|10995116277764|9|85899346084|
85899346104|2011-12-01T13:10:42.529+0000|204.79.186.200|Internet Explorer|About Hector Berlioz, his T. About Albert Einstein, theo. About Alfred Hitchcock, and. About William Henry Harriso. About Destiny Fulfil.|137|2199023255625|89|85899346084|
85899346105|2011-12-01T09:13:02.825+0000|41.56.235.42|Internet Explorer|yes|3|2199023255625|97|85899346084|
85899346106|2011-12-02T06:38:12.158+0000|31.25.187.16|Internet Explorer|thanks|6|2199023255633|107|85899346084|
85899346107|2011-12-01T09:50:31.078+0000|78.158.186.199|Chrome|About Adolf . About Albert. About Boris . About Alfred. About George. About Lyndon. Abo.|88|10995116277826|80|85899346084|
85899346108|2011-12-01T14:22:59.183+0000|31.223.233.31|Internet Explorer|About Alber. About Gioac. About Alfre. About Katy . About Willi. About Desti. A.|80|7696581394474|79||85899346104
85899346109|2011-12-01T19:23:06.064+0000|202.124.182.166|Firefox|yes|3|7696581394474|100||85899346108
85899346110|2011-12-01T07:51:02.062+0000|62.8.76.172|Chrome|About Adolf Hitler, . About Fidel Castro, . About Harry S. Truma. About Democrat.|81|10995116277826|83|85899346084|
85899346111|2011-12-01T19:17:32.027+0000|79.170.62.254|Internet Explorer|yes|3|2199023255625|64||85899346108
85899346112|2011-12-01T14:43:29.148+0000|41.204.109.136|Internet Explorer|About Albert Ei. About Boris Yel. About Stanley K. About Charles L. About In .|78|2199023255625|84|85899346084|
85899346113|2011-12-02T03:50:34.452+0000|41.72.118.168|Chrome|duh|3|10995116277826|110||85899346107
85899346114|2011-12-02T11:59:31.961+0000|61.11.209.117|Internet Explorer|yes|3|10995116277857|85||85899346104
85899346115|2011-12-02T10:54:43.064+0000|113.11.144.42|Firefox|cool|4|7696581394474|51||85899346104
42949673156|2010-12-23T02:23:45.314+0000|84.237.168.120|Internet Explorer|right|5|2199023255625|20|42949673125|
42949673157|2010-12-23T00:47:13.335+0000|78.40.209.31|Internet Explorer|no|2|2199023255625|3|42949673125|
42949673158|2010-12-23T02:20:46.707+0000|31.169.38.112|Internet Explorer|no way!|7|2199023255633|107|42949673125|
42949673159|2010-12-23T01:56:00.002+0000|89.144.146.43|Internet Explorer|About Ado. About Leo. About Jus. About Hum. About How. About Kur. About Giu. About Wor. .|89|2199023255633|80|42949673125|
42949673160|2010-12-23T05:50:03.435+0000|200.3.114.47|Internet Explorer|LOL|3|2199023255625|91|42949673125|
42949673161|2010-12-23T03:40:24.843+0000|196.12.244.218|Internet Explorer|no way!|7|2199023255625|87|42949673125|
42949673162|2010-12-23T06:08:29.164+0000|193.188.134.107|Internet Explorer|great|5|2199023255633|13|42949673125|
42949673163|2010-12-23T10:02:01.552+0000|31.42.39.81|Internet Explorer|ok|2|2199023255633|72|42949673125|
103079215308|2012-03-26T12:06:04.978+0000|193.194.4.179|Internet Explorer|About Adolf Hit. About Leonardo . About Boris Yel. About David Cam. About Amy Wineh. About.|91|10995116277764|87|103079215270|
103079215309|2012-03-26T15:36:10.243+0000|79.126.243.14|Chrome|ok|2|10995116277826|38||103079215308
103079215310|2012-03-26T16:41:11.468+0000|91.188.42.222|Chrome|fine|4|10995116277826|20||103079215308
103079215311|2012-03-26T13:56:21.814+0000|58.84.236.189|Firefox|right|5|9895604650074|29||103079215308
103079215312|2012-03-25T16:17:00.770+0000|190.5.69.17|Internet Explorer|no|2|2199023255633|15|103079215270|
103079215313|2012-03-26T12:09:19.756+0000|41.92.165.142|Firefox|About Adolf Hitler. About Mohandas Kar. About Amy Winehous. About Billy Joel, . About Hell.|91|7696581394474|68||103079215308
103079215314|2012-03-25T17:08:14.440+0000|192.190.31.102|Chrome|About Adolf. About Leona. About Boris. About Diana. About The N. About Dalai. Abo.|82|10995116277851|49|103079215270|
103079215315|2012-03-25T17:08:27.671+0000|41.74.47.253|Internet Explorer|About Adolf. About Leona. About Boris. About Frank. About Jamie. About Dalai. About I Wri..|91|2199023255625|8||103079215314
103079215316|2012-03-26T16:14:32.615+0000|193.17.215.216|Chrome|thanks|6|10995116277826|68||103079215313
103079215317|2012-03-25T17:13:18.169+0000|49.131.41.183|Chrome|yes|3|10995116277826|16|103079215270|
103079215318|2012-03-26T13:36:13.655+0000|77.75.247.122|Chrome|good|4|13194139533352|37||103079215313
103079215319|2012-03-25T23:46:03.242+0000|41.85.5.101|Internet Explorer|About Rembrandt, State. About Boris Yeltsin, f. About Ben Jonson, Ben . About Diana Ross,.|90|2199023255633|97|103079215270|
128849019409|2012-08-24T21:18:50.315+0000|49.128.1.49|Opera|no|2|5497558138940|62|128849019405|
128849019410|2012-08-25T21:04:45.581+0000|41.217.248.120|Internet Explorer|About Elvis Pre. About Marlon Br. About Ecuador. About More Than. About Lowe.|77|10995116277764|110|128849019405|
128849019411|2012-09-22T08:26:41.007+0000|46.16.38.9|Firefox|good|4|3298534883391|107|128849019406|
128849019412|2012-09-22T12:50:33.270+0000|196.43.197.233|Internet Explorer|no way!|7|8796093022253|2|128849019406|
128849019413|2012-09-22T21:33:10.220+0000|41.73.176.69|Chrome|About Jane Austen, the novel. About Luxembourg, seat of se. About Nauru, kilometres (.|86|2199023255628|102|128849019406|
128849019414|2012-09-22T15:51:43.066+0000|175.157.127.73|Internet Explorer|About Victor Hugo, . About Lord Byron, t. About Land of a Tho. About Denmark–No.|80|10995116277764|100|128849019406|
128849019415|2012-09-23T17:19:11.557+0000|81.161.141.94|Opera|great|5|5497558138940|10||128849019413
128849019416|2012-09-22T15:54:27.777+0000|180.150.253.125|Firefox|thx|3|6597069766735|35||128849019414
128849019417|2012-09-23T14:16:24.981+0000|41.231.157.241|Internet Explorer|cool|4|8796093022253|104||128849019413
128849019418|2012-09-22T12:49:22.533+0000|31.131.146.76|Chrome|right|5|10995116277826|72|128849019406|
128849019419|2012-09-22T16:54:55.276+0000|196.42.63.30|Chrome|duh|3|8796093022251|36|128849019406|
128849019420|2012-09-22T22:28:57.932+0000|41.217.196.35|Chrome|About Leonar. About Rembra. About Isaac . About Lord B. About Mary, . About David . Abo.|88|2199023255628|84|128849019406|
128849019421|2012-09-22T09:39:19.410+0000|188.127.116.81|Firefox|great|5|3298534883391|6|128849019406|
128849019422|2012-09-23T10:06:23.316+0000|196.43.217.15|Opera|thx|3|3298534883392|83||128849019414
128849019423|2012-09-23T17:09:51.091+0000|24.55.94.241|Internet Explorer|About Jane Aust. About Harold Wi. About Oscar Ham. About Luxembour. About Naur.|79|3298534883350|36||128849019413
128849019424|2012-09-23T20:12:12.023+0000|195.50.28.79|Chrome|ok|2|10995116277826|63||128849019423
128849019425|2012-09-22T10:57:58.306+0000|77.110.209.55|Firefox|roflol|6|2199023255611|32|128849019406|
128849019426|2012-09-22T06:07:51.855+0000|190.110.4.134|Internet Explorer|About Arnold. About Franz . About Freddi. About Lord B. About David . About .|77|3298534883350|11|128849019406|
120259084835|2012-07-22T17:57:01.365+0000|204.79.178.194|Chrome|About Fr. About Lo. About Fr. About Po. About Su. About Bo. About Be. About Ma. About .|87|8796093022251|50|120259084815|
120259084836|2012-07-22T23:46:07.750+0000|202.123.2.66|Internet Explorer|good|4|3298534883350|26|120259084815|
120259084837|2012-07-22T18:30:11.078+0000|41.197.248.151|Internet Explorer|thanks|6|3298534883350|39||120259084835
120259084838|2012-07-22T17:26:59.797+0000|31.24.57.127|Firefox|duh|3|2199023255565|13|120259084815|
120259084839|2012-07-23T09:03:54.598+0000|190.22.160.68|Chrome|ok|2|6597069766688|69||120259084835
120259084840|2012-07-22T19:35:00.781+0000|203.143.0.62|Chrome|cool|4|10995116277826|100||120259084835
120259084841|2012-07-23T03:56:44.648+0000|91.212.247.139|Firefox|great|5|6597069766735|9||120259084835
120259084842|2012-07-22T22:40:40.286+0000|84.205.208.157|Internet Explorer|About F. About L. About C. About F. About C. About P. About S. About S. About B. About .|88|8796093022253|78||120259084835
120259084843|2012-07-22T20:16:41.079+0000|200.75.208.88|Chrome|cool|4|8796093022251|34||120259084835
120259084844|2012-07-22T18:40:17.640+0000|77.75.22.180|Chrome|no way!|7|6597069766688|3|120259084815|
120259084845|2012-07-22T18:05:29.901+0000|188.65.30.119|Chrome|ok|2|7696581394490|33||120259084835
120259084846|2012-07-23T03:50:54.118+0000|46.1.161.149|Firefox|About Fr. About Ma. About Bo. About Po. About Po. About 50. About We. About Be. About Wi.|89|12094627905567|50|120259084815|
120259084847|2012-07-23T12:31:59.810+0000|196.12.13.54|Opera|roflol|6|5497558138940|110|120259084815|
120259084848|2012-07-22T19:32:46.383+0000|62.209.178.1|Internet Explorer|good|4|3298534883350|101|120259084815|
120259084849|2012-07-23T03:51:43.316+0000|31.13.7.41|Internet Explorer|great|5|3298534883350|107||120259084846
120259084850|2012-07-22T17:20:24.257+0000|140.148.90.86|Opera|good|4|5497558138940|53|120259084815|
120259084851|2012-07-23T04:16:47.403+0000|41.84.225.15|Internet Explorer|roflol|6|3298534883350|44||120259084846
120259084852|2012-07-22T11:00:38.989+0000|101.53.49.72|Chrome|duh|3|7696581394490|58|120259084816|
120259084853|2012-07-22T03:32:41.522+0000|31.159.66.105|Internet Explorer|About Dean Martin, of the Rat Pack and a . About Ethiopia, the moment, ENDF consist.|84|3298534883350|81|120259084816|
120259084854|2012-07-22T15:06:10.166+0000|222.165.139.93|Firefox|I see|5|3298534883391|100|120259084816|
42949674228|2011-02-01T17:14:06.326+0000|31.177.99.132|Chrome|no way!|7|3298534883405|45|42949674224|
42949674229|2011-02-01T20:12:26.166+0000|213.35.183.209|Firefox|maybe|5|2199023255611|13|42949674224|
42949674230|2011-02-01T16:21:55.291+0000|209.45.0.86|Chrome|cool|4|3298534883405|91|42949674224|
42949674231|2011-02-01T14:54:12.246+0000|1.2.2.172|Firefox|great|5|2199023255611|1|42949674224|
42949674232|2011-02-02T07:06:53.089+0000|91.200.196.50|Firefox|LOL|3|2199023255611|24|42949674224|
42949674233|2011-02-02T00:46:02.327+0000|1.2.2.172|Firefox|thanks|6|2199023255611|1|42949674224|
42949674234|2011-02-01T14:26:21.394+0000|41.216.238.101|Firefox|great|5|2199023255611|2|42949674224|
42949674235|2011-02-01T21:20:40.092+0000|118.107.107.109|Chrome|roflol|6|3298534883405|58|42949674224|
42949674236|2011-02-01T23:13:18.172+0000|62.77.141.154|Firefox|About Igor Stravinsky, pian. About Qatar, country provid. About Azerbaijan Soviet S.|84|2199023255611|79|42949674224|
42949674237|2011-02-02T09:22:22.430+0000|113.52.46.248|Chrome|right|5|3298534883405|58||42949674236
42949674238|2011-02-02T00:30:11.813+0000|213.55.104.35|Firefox|thx|3|2199023255611|76||42949674236
42949674239|2011-02-01T23:17:56.031+0000|27.131.251.45|Firefox|About Mikhail Gorbachev, he j. About Lenny Kravitz, singer-s. About Qatar, Arabia, Kuwai.|89|2199023255611|51||42949674236
42949674240|2011-02-01T15:17:28.201+0000|31.24.38.95|Firefox|About Charlemagne, in . About Igor Stravinsky,. About Thomas More, pur. About Caliphate o.|90|2199023255611|107|42949674224|
42949674241|2011-02-02T08:09:24.876+0000|46.23.86.225|Firefox|About Charlemag. About Thomas Mo. About Sark, lar. About Caliphate. About Br.|77|2199023255611|89||42949674240
42949674242|2011-02-01T15:38:44.501+0000|193.189.148.202|Opera|About Charlemagne, . About Richard Wagne. About Otto von Bism. About Igor Stra.|79|3298534883392|18||42949674240
42949674243|2011-02-02T12:44:44.372+0000|190.14.199.133|Firefox|About Richard Wagner. About Igor Stravinsk. About Keith Richards. About SYR4: Goo.|82|2199023255611|34||42949674242
42949674244|2011-02-02T20:43:54.785+0000|31.216.45.135|Firefox|LOL|3|2199023255611|45||42949674241
42949674245|2011-02-02T05:41:04.022+0000|200.59.190.137|Chrome|cool|4|3298534883405|108||42949674239
42949674246|2011-02-01T14:26:59.523+0000|80.94.224.187|Firefox|great|5|2199023255611|63|42949674224|
85899347207|2011-11-05T15:23:11.022+0000|103.4.109.58|Chrome|thanks|6|3298534883405|41|85899347186|
85899347208|2011-11-06T09:24:15.418+0000|204.79.178.236|Chrome|no way!|7|3298534883405|50|85899347186|
85899347209|2011-11-04T20:41:18.097+0000|31.24.190.185|Firefox|right|5|9895604650074|79|85899347187|
85899347210|2011-11-05T01:52:58.257+0000|213.150.191.199|Firefox|About Toru Takemitsu, in a harm. About Beyoncé Knowles, artist. . About Aaron Copland, of America. About My Beautiful Dark Twis.|128|9895604650074|104|85899347187|
85899347211|2011-11-05T09:59:31.632+0000|196.1.112.229|Chrome|ok|2|5497558138966|71||85899347210
85899347212|2011-11-05T13:17:36.223+0000|41.138.129.66|Chrome|ok|2|3298534883405|25||85899347210
85899347213|2011-11-05T08:44:53.841+0000|199.185.139.78|Chrome|About Weird Al Yankovic, . About Bill Cosby, city. C. About Black Magic Woma.|77|6597069766688|107|85899347187|
85899347214|2011-11-06T01:05:54.446+0000|41.77.4.226|Chrome|thx|3|6597069766688|110||85899347213
85899347215|2011-11-05T10:17:33.894+0000|187.177.192.185|Chrome|no|2|5497558138966|53||85899347213
103079216642|2012-03-07T23:01:25.854+0000|27.50.69.98|Internet Explorer|fine|4|6597069766664|62|103079216639|
103079216643|2012-03-07T23:00:49.787+0000|61.91.56.45|Chrome|About Gaetano Doniz. About Roger Federer. About Elizabeth II,. About Elvis Pres.|80|9895604650036|103|103079216639|
103079216644|2012-03-07T23:02:39.140+0000|49.13.191.11|Firefox|About Elizabeth II, . About Elvis Presley,. About Fyodor Dostoye. About Hate It .|81|12094627905550|0||103079216643
103079216645|2012-03-08T03:23:26.324+0000|148.215.164.197|Chrome|About Elizabeth . About Fyodor Dos. About My Babe, c. About Purple Oni. About Hate.|83|9895604650036|53||103079216644
103079216646|2012-03-08T00:15:22.680+0000|81.17.92.212|Firefox|right|5|8796093022217|4||103079216643
103079216647|2012-03-08T09:20:57.802+0000|103.1.115.191|Internet Explorer|About Elizabe. About Stevie . About Beck. About Allen G. About Fyodor . About Purpl.|84|6597069766664|0||103079216645
103079216648|2012-03-08T09:26:13.565+0000|196.43.210.137|Internet Explorer|thanks|6|6597069766664|2||103079216647
103079216649|2012-03-07T23:10:28.125+0000|31.207.89.191|Firefox|fine|4|12094627905550|99||103079216644
103079216650|2012-03-08T12:32:51.431+0000|41.74.35.53|Firefox|About Elizabeth . About Fyodor Dos. About The Best o. About Waiting in. About Catc.|83|8796093022217|8||103079216647
103079216651|2012-03-08T21:07:46.404+0000|24.109.229.210|Firefox|duh|3|8796093022217|66||103079216650
103079216652|2012-03-08T17:54:30.652+0000|69.63.76.215|Chrome|About Neil You. About Stevie W. About Beck, th. About Orchestr. About Why Does. Abou.|85|9895604650036|44||103079216647
103079216653|2012-03-08T10:15:57.483+0000|41.75.69.45|Internet Explorer|About Friedrich. About Mahmoud A. About Elizabeth. About Beck, lea. About Are.|78|6597069766664|73||103079216647
103079216654|2012-03-07T23:01:57.950+0000|87.251.1.253|Firefox|no way!|7|12094627905550|105|103079216639|
103079216655|2012-03-09T09:22:37.937+0000|41.216.124.157|Internet Explorer|fine|4|6597069766664|39||103079216652
103079216656|2012-03-08T02:54:51.268+0000|196.43.193.185|Internet Explorer|About Rabindranath Tag. About Buddy Holly, fir. About Fyodor Dostoyevs. About Hate It or L.|91|6597069766664|110||103079216644
103079216657|2012-03-08T14:00:13.180+0000|46.12.117.178|Internet Explorer|About Pablo Picasso. About Elizabeth II,. About George Michae. About Graham G.|78|6597069766664|78||103079216650
103079216658|2012-03-09T00:43:17.008+0000|31.22.34.254|Firefox|About Neil Y. About Elton . About Dr. Dr. About Beck, . About Orches. About Purple. Abo.|88|12094627905550|56||103079216652
103079216659|2012-03-08T03:28:59.248+0000|193.188.95.38|Chrome|great|5|9895604650036|18||103079216645
103079216660|2012-03-09T04:57:23.181+0000|91.142.139.236|Chrome|right|5|9895604650036|9||103079216653
103079216661|2012-03-08T05:46:02.266+0000|77.95.6.242|Firefox|About Pedro I of Br. About Elizabeth II,. About Elvis Presley. About Thomas Jeffer. About Bawit.|96|8796093022217|46|103079216639|
94489282070|2012-01-21T21:10:13.374+0000|87.237.108.98|Firefox|no way!|7|8796093022217|95|94489282048|
94489282071|2012-01-21T20:14:12.419+0000|59.103.175.55|Chrome|About Donovan, ran 27.07 mph (12.10 m/s) in. About Richard Rodgers, an Oscar, and a Ton.|88|9895604650036|54|94489282048|
94489282072|2012-01-21T20:43:17.184+0000|186.190.191.159|Chrome|About Donovan, December 16, 1967) is a r. About Theodore Roosevelt, of the short-.|82|9895604650036|61||94489282071
94489282073|2012-01-22T02:32:57.753+0000|193.192.15.73|Internet Explorer|great|5|6597069766664|9|94489282048|
94489282074|2012-01-22T14:10:13.384+0000|62.102.187.62|Chrome|About Marcelo Melo. About Andrew Lloyd. About Allen Ginsbe. About David, Ly.|76|9895604650036|32|94489282048|
94489282075|2012-01-22T14:39:16.426+0000|217.138.153.185|Firefox|great|5|8796093022217|24||94489282072
94489282076|2012-01-22T00:30:26.588+0000|31.222.63.197|Chrome|fine|4|9895604650036|107||94489282072
94489282077|2012-01-21T20:53:27.468+0000|41.190.228.183|Firefox|I see|5|8796093022217|90|94489282048|
94489282078|2012-01-22T03:00:44.688+0000|46.47.83.89|Firefox|fine|4|8796093022217|7|94489282049|
94489282079|2012-01-23T00:06:35.329+0000|46.235.176.223|Firefox|About Franz Ka. About 50 Cent,. About Quincy J. About Lionel R. About Otis Red. About.|86|8796093022217|77|94489282049|
94489282080|2012-01-22T02:47:51.311+0000|78.41.125.57|Chrome|About Marcelo . About Christop. About Oscar Wi. About Paul New. About Lionel R. About Jerome K. About Howard S. Ab.|115|9895604650036|32|94489282049|
94489282081|2012-01-22T09:45:13.557+0000|199.103.114.33|Internet Explorer|roflol|6|6597069766664|107|94489282049|
94489282082|2012-01-22T03:14:52.107+0000|41.188.36.111|Firefox|thx|3|8796093022217|84||94489282080
94489282083|2012-01-23T03:19:59.743+0000|200.93.244.11|Internet Explorer|fine|4|6597069766664|47||94489282079
68719478315|2011-07-24T07:26:08.055+0000|81.22.107.197|Internet Explorer|yes|3|3298534883350|105|68719478308|
68719478316|2011-07-24T15:11:17.575+0000|46.30.0.121|Chrome|I see|5|3298534883405|50|68719478308|
68719478317|2011-07-23T15:18:40.951+0000|190.184.124.240|Internet Explorer|About Wolfgang Amadeus Mozart, death. The ci. About The Notorious B.I.G., scene at the t.|89|3298534883350|30|68719478308|
68719478318|2011-07-23T15:47:13.700+0000|41.86.10.251|Chrome|About 50 Cent, Born in the South Jamaica of Queens, New York City, Jackson began drug dea.|90|3298534883405|21|68719478308|
68719478319|2011-07-23T15:30:17.069+0000|62.240.54.107|Chrome|About Salman Rushdie, archives. In May 2008 he was elected a Foreign Honorary Member of the American Academy of Arts and Letters. His latest novel is Luka and the Fire of Life, .|178|3298534883405|22|68719478308|
68719478320|2011-07-23T22:35:15.891+0000|77.235.250.172|Chrome|great|5|3298534883405|101||68719478319
68719478321|2011-07-24T01:16:28.953+0000|46.29.98.59|Chrome|good|4|3298534883405|50|68719478308|
68719478322|2011-07-24T00:03:13.911+0000|188.66.230.243|Internet Explorer|About 50 Cent, Get Rich or Die Tryin' . About Baby Love, list of The 500 Grea.|78|3298534883350|33||68719478318
68719478323|2011-07-24T12:51:24.168+0000|2.99.109.3|Chrome|maybe|5|3298534883405|107||68719478317
68719478324|2011-07-24T09:06:45.685+0000|46.29.130.230|Chrome|About 50 Cent, successful rapp. About Baby Love, The 500 Great. About I Got Soul, 2009 cha.|91|3298534883405|106||68719478322
68719478325|2011-07-23T17:27:35.884+0000|89.16.68.66|Firefox|right|5|7696581394474|37|68719478308|
68719478326|2011-07-23T15:18:59.762+0000|41.74.35.22|Chrome|no way!|7|3298534883405|8|68719478308|
77309412919|2011-09-30T23:15:31.573+0000|41.76.142.221|Firefox|roflol|6|7696581394474|73|77309412901|
77309412920|2011-10-01T00:36:08.904+0000|27.114.117.247|Internet Explorer|maybe|5|3298534883350|52|77309412901|
77309412921|2011-09-30T19:14:34.659+0000|41.216.180.168|Firefox|no|2|7696581394474|68|77309412901|
77309412922|2011-09-30T21:50:02.460+0000|91.135.193.100|Chrome|roflol|6|3298534883405|82|77309412901|
77309412923|2011-09-30T19:14:32.113+0000|41.202.220.1|Firefox|no way!|7|7696581394474|68|77309412901|
